"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-10","gmondello","copilot","copilot_premium_request","Claude Opus 4.6","372","requests","0.04","14.879999999999994","14.879999999999994","0","False","1000","emea-avo-waffle","greg-test","23983","22886","2758240","713565"
"2026-02-10","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","231","requests","0.04","9.240000000000004","9.240000000000004","0","False","1000","SKi-demo","","250","15719","1280308","1196245"
"2026-02-10","dandy-feller","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","dandy-feller-bento","","1064","956","46833","0"
"2026-02-10","megamanics","copilot","copilot_premium_request","GPT-5.1-Codex-Mini","6.2700000000000005","requests","0.04","0.2507999999999999","0.2507999999999999","0","False","1000","SKi-demo","","577735","13466","0","444928"
"2026-02-10","kathleenqin","copilot","copilot_premium_request","GPT-5.2","2","requests","0.04","0.08","0.08","0","False","1000","github","[org team] cost-center-automation/the-a-team","4208","832","0","11008"
"2026-02-10","megamanics","copilot","copilot_premium_request","GPT-5.2-Codex","39","requests","0.04","1.5600000000000007","1.5600000000000007","0","False","1000","SKi-demo","","413203","26179","0","1020672"
"2026-02-11","KittyChiu","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","2.7","requests","0.04","0.10799999999999998","0.10799999999999998","0","False","1000","avocadosmash","","25","2024","58876","34111"
"2026-02-11","tspascoal-tst","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","5.4","requests","0.04","0.216","0.216","0","False","1000","tspascoal-ce-dev","tspascoal-ce-dev-budget","0","1730","0","0"
"2026-02-11","megamanics","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","14.400000000000004","requests","0.04","0.576","0.576","0","False","1000","SKi-demo","","0","8444","0","0"
"2026-02-11","megamanics","copilot","copilot_premium_request","Auto: Gemini 3 Pro","9.000000000000002","requests","0.04","0.35999999999999993","0.35999999999999993","0","False","1000","SKi-demo","","298741","7436","0","177372"
"2026-02-11","kathleenqin","copilot","copilot_premium_request","Claude Opus 4.5","3","requests","0.04","0.12","0.12","0","False","1000","github","[org team] cost-center-automation/the-a-team","58","65","41405","0"
"2026-02-11","neildcruz","copilot","copilot_premium_request","Claude Opus 4.6","108","requests","0.04","4.32","4.32","0","False","1000","neildcruz-avocado","","40","6498","567285","113567"
"2026-02-11","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","102","requests","0.04","4.080000000000003","4.080000000000003","0","False","1000","SKi-demo","","411393","13645","1096678","2701772"
"2026-02-11","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","2","402","16077","0"
"2026-02-11","raffertyuy","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","raztype-avocado","","22248","765","0","11853"
"2026-02-11","dandy-feller","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","dandy-feller-bento","","530","414","24230","23772"
"2026-02-11","JarylW","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","BYOK-Demo","","860","84","0","0"
"2026-02-11","megamanics","copilot","copilot_premium_request","GPT-5.2","2","requests","0.04","0.08","0.08","0","False","1000","SKi-demo","","1304","1834","0","13568"
"2026-02-11","optimisticjc","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","optimisticjc-ceviche","","483","1456","0","6784"
"2026-02-11","KittyChiu","copilot","copilot_premium_request","GPT-5.2","5","requests","0.04","0.2","0.2","0","False","1000","avocadosmash","","10492","705","0","35328"
"2026-02-11","tspascoal-tst","copilot","copilot_premium_request","GPT-5.2-Codex","5","requests","0.04","0.2","0.2","0","False","1000","tspascoal-ce-dev","tspascoal-ce-dev-budget","16000","897","0","37120"
"2026-02-12","megamanics","copilot","copilot_premium_request","Auto: GPT-5.2-Codex","10.800000000000002","requests","0.04","0.4319999999999999","0.4319999999999999","0","False","1000","SKi-demo","","101288","2534","0","298880"
"2026-02-12","raffertyuy","copilot","copilot_premium_request","Claude Opus 4.5","93","requests","0.04","3.7200000000000024","3.7200000000000024","0","False","300","raztype-avocado","","3550","10521","483894","416851"
"2026-02-12","megamanics","copilot","copilot_premium_request","Claude Opus 4.6","114","requests","0.04","4.560000000000003","4.560000000000003","0","False","1000","SKi-demo","","8358","12814","687305","3610243"
"2026-02-12","neildcruz","copilot","copilot_premium_request","Claude Opus 4.6","18","requests","0.04","0.72","0.72","0","False","1000","neildcruz-avocado","","4","631","93262","0"
"2026-02-12","optimisticjc","copilot","copilot_premium_request","GPT-5.1","6","requests","0.04","0.24000000000000002","0.24000000000000002","0","False","1000","optimisticjc-ceviche","","47933","1396","0","7296"
"2026-02-12","kathleenqin","copilot","copilot_premium_request","GPT-5.2","7","requests","0.04","0.28","0.28","0","False","1000","github","[org team] cost-center-automation/the-a-team","54697","3519","0","52992"
"2026-02-12","connienguyen-gh","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","Avocado-Extra-Charge","","322","180","0","6784"
"2026-02-12","megamanics","copilot","copilot_premium_request","GPT-5.2-Codex","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","1000","SKi-demo","","49559","2623","0","197120"
"2026-02-13","KittyChiu","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","1.5","requests","0.04","0.06","0.06","0","False","1000","avocadosmash","","0","1336","0","0"
"2026-02-13","KittyChiu","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","0.9","requests","0.04","0.036","0.036","0","False","1000","avocadosmash","","1762","249","0","0"
